Sentence,Emotion
I felt a deep sense of loss after the breakup.,Sadness
The thought of failing the exam kept me awake with dread.,Fear
He was terrified when He saw the shadow outside my window.,Fear
We was shocked to see the unexpected guest at my party.,Surprise
The laughter of children filled me with happiness.,Joy
The loneliness consumed me during the cold night.,Sadness
She felt enraged by the constant interruptions.,Anger
The laughter of children filled me with happiness.,Joy
He felt paralyzed with fear during the horror movie.,Fear
The unexpected loud noise startled me and made my heart race.,Fear
I was overjoyed when I got the acceptance letter.,Joy
He felt paralyzed with fear during the horror movie.,Fear
The sudden announcement of the promotion took me by surprise.,Surprise
The unfair treatment left me fuming with rage.,Anger
The rude behavior of the cashier made me angry.,Anger
The unfair treatment left me fuming with rage.,Anger
He couldn't contain my anger during the heated argument.,Anger
He couldn't believe my eyes when He saw the stunning view.,Surprise
The thought of failing the exam kept me awake with dread.,Fear
They couldn't contain my anger during the heated argument.,Anger
I gasped in astonishment at the plot twist in the story.,Surprise
We gasped in astonishment at the plot twist in the story.,Surprise
They couldn't stop smiling after receiving the good news.,Joy
The eerie sound in the dark made me tremble with fear.,Fear
The thought of failing the exam kept me awake with dread.,Fear
She couldn't stop crying after reading the sad letter.,Sadness
Winning the competition was a moment of pure delight.,Joy
Winning the competition was a moment of pure delight.,Joy
The sudden announcement of the promotion took me by surprise.,Surprise
She was overjoyed when She got the acceptance letter.,Joy
The thought of failing the exam kept me awake with dread.,Fear
He was overjoyed when He got the acceptance letter.,Joy
We was shocked to see the unexpected guest at my party.,Surprise
The eerie sound in the dark made me tremble with fear.,Fear
The movie's ending left me in tears.,Sadness
The surprise visit from my best friend made my day.,Joy
They gasped in astonishment at the plot twist in the story.,Surprise
We couldn't stop crying after reading the sad letter.,Sadness
We was overjoyed when We got the acceptance letter.,Joy
The surprise gift left me speechless with joy.,Surprise
The laughter of children filled me with happiness.,Joy
Winning the competition was a moment of pure delight.,Joy
I was overjoyed when I got the acceptance letter.,Joy
He was terrified when He saw the shadow outside my window.,Fear
The unfair treatment left me fuming with rage.,Anger
The eerie sound in the dark made me tremble with fear.,Fear
The thought of failing the exam kept me awake with dread.,Fear
The unfair treatment left me fuming with rage.,Anger
I was overjoyed when I got the acceptance letter.,Joy
The surprise visit from my best friend made my day.,Joy
He felt paralyzed with fear during the horror movie.,Fear
The unexpected loud noise startled me and made my heart race.,Fear
The rude behavior of the cashier made me angry.,Anger
He couldn't believe my eyes when He saw the stunning view.,Surprise
She was heartbroken when She heard the tragic news.,Sadness
He was overjoyed when He got the acceptance letter.,Joy
The laughter of children filled me with happiness.,Joy
They couldn't contain my anger during the heated argument.,Anger
The movie's ending left me in tears.,Sadness
I was heartbroken when I heard the tragic news.,Sadness
I felt a deep sense of loss after the breakup.,Sadness
They couldn't contain my anger during the heated argument.,Anger
The thought of failing the exam kept me awake with dread.,Fear
They felt paralyzed with fear during the horror movie.,Fear
The surprise gift left me speechless with joy.,Surprise
The surprise gift left me speechless with joy.,Surprise
We felt a deep sense of loss after the breakup.,Sadness
They gasped in astonishment at the plot twist in the story.,Surprise
The thought of failing the exam kept me awake with dread.,Fear
He felt paralyzed with fear during the horror movie.,Fear
They felt enraged by the constant interruptions.,Anger
The rude behavior of the cashier made me angry.,Anger
We felt paralyzed with fear during the horror movie.,Fear
The unfair treatment left me fuming with rage.,Anger
He was terrified when He saw the shadow outside my window.,Fear
I felt paralyzed with fear during the horror movie.,Fear
She was terrified when She saw the shadow outside my window.,Fear
The loneliness consumed me during the cold night.,Sadness
She couldn't believe my eyes when She saw the stunning view.,Surprise
The unexpected loud noise startled me and made my heart race.,Fear
They was heartbroken when They heard the tragic news.,Sadness
He was overjoyed when He got the acceptance letter.,Joy
She gasped in astonishment at the plot twist in the story.,Surprise
We couldn't believe my eyes when We saw the stunning view.,Surprise
The unfair treatment left me fuming with rage.,Anger
The rude behavior of the cashier made me angry.,Anger
We was overjoyed when We got the acceptance letter.,Joy
I couldn't believe my eyes when I saw the stunning view.,Surprise
I was overjoyed when I got the acceptance letter.,Joy
They was heartbroken when They heard the tragic news.,Sadness
We was overjoyed when We got the acceptance letter.,Joy
I felt a deep sense of loss after the breakup.,Sadness
I was furious when I saw the broken vase.,Anger
They felt enraged by the constant interruptions.,Anger
The unfair treatment left me fuming with rage.,Anger
The movie's ending left me in tears.,Sadness
The surprise visit from my best friend made my day.,Joy
They felt paralyzed with fear during the horror movie.,Fear
The movie's ending left me in tears.,Sadness
She gasped in astonishment at the plot twist in the story.,Surprise
I couldn't stop smiling after receiving the good news.,Joy
He was overjoyed when He got the acceptance letter.,Joy
They couldn't contain my anger during the heated argument.,Anger
He felt enraged by the constant interruptions.,Anger
We was overjoyed when We got the acceptance letter.,Joy
The movie's ending left me in tears.,Sadness
I felt a deep sense of loss after the breakup.,Sadness
The thought of failing the exam kept me awake with dread.,Fear
The unexpected loud noise startled me and made my heart race.,Fear
The sudden announcement of the promotion took me by surprise.,Surprise
He was terrified when He saw the shadow outside my window.,Fear
The unexpected loud noise startled me and made my heart race.,Fear
They couldn't believe my eyes when They saw the stunning view.,Surprise
The laughter of children filled me with happiness.,Joy
The unexpected loud noise startled me and made my heart race.,Fear
The surprise gift left me speechless with joy.,Surprise
He felt a deep sense of loss after the breakup.,Sadness
They felt a deep sense of loss after the breakup.,Sadness
She was terrified when She saw the shadow outside my window.,Fear
The unfair treatment left me fuming with rage.,Anger
She was heartbroken when She heard the tragic news.,Sadness
We was heartbroken when We heard the tragic news.,Sadness
The movie's ending left me in tears.,Sadness
They felt enraged by the constant interruptions.,Anger
He felt paralyzed with fear during the horror movie.,Fear
We was overjoyed when We got the acceptance letter.,Joy
The rude behavior of the cashier made me angry.,Anger
I felt enraged by the constant interruptions.,Anger
I felt a deep sense of loss after the breakup.,Sadness
The surprise gift left me speechless with joy.,Surprise
He couldn't stop crying after reading the sad letter.,Sadness
The movie's ending left me in tears.,Sadness
I felt enraged by the constant interruptions.,Anger
He was heartbroken when He heard the tragic news.,Sadness
The movie's ending left me in tears.,Sadness
They was furious when They saw the broken vase.,Anger
The loneliness consumed me during the cold night.,Sadness
I couldn't stop crying after reading the sad letter.,Sadness
The rude behavior of the cashier made me angry.,Anger
The sudden announcement of the promotion took me by surprise.,Surprise
She felt enraged by the constant interruptions.,Anger
I gasped in astonishment at the plot twist in the story.,Surprise
She couldn't stop smiling after receiving the good news.,Joy
The thought of failing the exam kept me awake with dread.,Fear
The rude behavior of the cashier made me angry.,Anger
She couldn't believe my eyes when She saw the stunning view.,Surprise
I was terrified when I saw the shadow outside my window.,Fear
She felt enraged by the constant interruptions.,Anger
The laughter of children filled me with happiness.,Joy
I was heartbroken when I heard the tragic news.,Sadness
The unexpected loud noise startled me and made my heart race.,Fear
They couldn't stop smiling after receiving the good news.,Joy
The laughter of children filled me with happiness.,Joy
The unexpected loud noise startled me and made my heart race.,Fear
I was overjoyed when I got the acceptance letter.,Joy
She couldn't contain my anger during the heated argument.,Anger
She couldn't contain my anger during the heated argument.,Anger
I felt enraged by the constant interruptions.,Anger
Winning the competition was a moment of pure delight.,Joy
The laughter of children filled me with happiness.,Joy
The loneliness consumed me during the cold night.,Sadness
She was terrified when She saw the shadow outside my window.,Fear
She was furious when She saw the broken vase.,Anger
The rude behavior of the cashier made me angry.,Anger
The eerie sound in the dark made me tremble with fear.,Fear
They felt paralyzed with fear during the horror movie.,Fear
We couldn't believe my eyes when We saw the stunning view.,Surprise
I was shocked to see the unexpected guest at my party.,Surprise
They felt enraged by the constant interruptions.,Anger
The movie's ending left me in tears.,Sadness
We was shocked to see the unexpected guest at my party.,Surprise
The surprise gift left me speechless with joy.,Surprise
The loneliness consumed me during the cold night.,Sadness
The sudden announcement of the promotion took me by surprise.,Surprise
The laughter of children filled me with happiness.,Joy
He couldn't contain my anger during the heated argument.,Anger
Winning the competition was a moment of pure delight.,Joy
The unfair treatment left me fuming with rage.,Anger
He was terrified when He saw the shadow outside my window.,Fear
The surprise gift left me speechless with joy.,Surprise
Winning the competition was a moment of pure delight.,Joy
I was shocked to see the unexpected guest at my party.,Surprise
They was terrified when They saw the shadow outside my window.,Fear
They couldn't stop smiling after receiving the good news.,Joy
She felt paralyzed with fear during the horror movie.,Fear
The eerie sound in the dark made me tremble with fear.,Fear
She couldn't believe my eyes when She saw the stunning view.,Surprise
They felt enraged by the constant interruptions.,Anger
The movie's ending left me in tears.,Sadness
The surprise gift left me speechless with joy.,Surprise
I felt paralyzed with fear during the horror movie.,Fear
Winning the competition was a moment of pure delight.,Joy
Winning the competition was a moment of pure delight.,Joy
She was terrified when She saw the shadow outside my window.,Fear
The unexpected loud noise startled me and made my heart race.,Fear
The laughter of children filled me with happiness.,Joy
She couldn't contain my anger during the heated argument.,Anger
I couldn't stop crying after reading the sad letter.,Sadness
She was terrified when She saw the shadow outside my window.,Fear
The surprise gift left me speechless with joy.,Surprise
The laughter of children filled me with happiness.,Joy
The unexpected loud noise startled me and made my heart race.,Fear
She couldn't believe my eyes when She saw the stunning view.,Surprise
She gasped in astonishment at the plot twist in the story.,Surprise
Winning the competition was a moment of pure delight.,Joy
The surprise visit from my best friend made my day.,Joy
They felt a deep sense of loss after the breakup.,Sadness
The unexpected loud noise startled me and made my heart race.,Fear
Winning the competition was a moment of pure delight.,Joy
The thought of failing the exam kept me awake with dread.,Fear
The laughter of children filled me with happiness.,Joy
The sudden announcement of the promotion took me by surprise.,Surprise
The movie's ending left me in tears.,Sadness
The eerie sound in the dark made me tremble with fear.,Fear
We couldn't believe my eyes when We saw the stunning view.,Surprise
The rude behavior of the cashier made me angry.,Anger
They felt a deep sense of loss after the breakup.,Sadness
They felt enraged by the constant interruptions.,Anger
The surprise visit from my best friend made my day.,Joy
She couldn't believe my eyes when She saw the stunning view.,Surprise
They couldn't stop crying after reading the sad letter.,Sadness
We was heartbroken when We heard the tragic news.,Sadness
She was heartbroken when She heard the tragic news.,Sadness
The sudden announcement of the promotion took me by surprise.,Surprise
I was shocked to see the unexpected guest at my party.,Surprise
The sudden announcement of the promotion took me by surprise.,Surprise
They was overjoyed when They got the acceptance letter.,Joy
I couldn't believe my eyes when I saw the stunning view.,Surprise
She couldn't contain my anger during the heated argument.,Anger
The rude behavior of the cashier made me angry.,Anger
The surprise visit from my best friend made my day.,Joy
He couldn't believe my eyes when He saw the stunning view.,Surprise
They was shocked to see the unexpected guest at my party.,Surprise
The surprise gift left me speechless with joy.,Surprise
The eerie sound in the dark made me tremble with fear.,Fear
The movie's ending left me in tears.,Sadness
We was heartbroken when We heard the tragic news.,Sadness
We felt a deep sense of loss after the breakup.,Sadness
They couldn't stop crying after reading the sad letter.,Sadness
He couldn't stop crying after reading the sad letter.,Sadness
I was terrified when I saw the shadow outside my window.,Fear
We couldn't contain my anger during the heated argument.,Anger
The surprise visit from my best friend made my day.,Joy
She couldn't stop crying after reading the sad letter.,Sadness
He couldn't contain my anger during the heated argument.,Anger
The eerie sound in the dark made me tremble with fear.,Fear
We was furious when We saw the broken vase.,Anger
I couldn't contain my anger during the heated argument.,Anger
They was overjoyed when They got the acceptance letter.,Joy
We was furious when We saw the broken vase.,Anger
The surprise gift left me speechless with joy.,Surprise
The laughter of children filled me with happiness.,Joy
The eerie sound in the dark made me tremble with fear.,Fear
The laughter of children filled me with happiness.,Joy
The surprise gift left me speechless with joy.,Surprise
The unfair treatment left me fuming with rage.,Anger
She was furious when She saw the broken vase.,Anger
I was furious when I saw the broken vase.,Anger
The movie's ending left me in tears.,Sadness
He gasped in astonishment at the plot twist in the story.,Surprise
He couldn't believe my eyes when He saw the stunning view.,Surprise
They gasped in astonishment at the plot twist in the story.,Surprise
They was heartbroken when They heard the tragic news.,Sadness
He felt enraged by the constant interruptions.,Anger
He couldn't believe my eyes when He saw the stunning view.,Surprise
They gasped in astonishment at the plot twist in the story.,Surprise
The rude behavior of the cashier made me angry.,Anger
She felt a deep sense of loss after the breakup.,Sadness
She felt paralyzed with fear during the horror movie.,Fear
We was shocked to see the unexpected guest at my party.,Surprise
Winning the competition was a moment of pure delight.,Joy
The unfair treatment left me fuming with rage.,Anger
She was overjoyed when She got the acceptance letter.,Joy
The surprise gift left me speechless with joy.,Surprise
She couldn't stop crying after reading the sad letter.,Sadness
We felt paralyzed with fear during the horror movie.,Fear
We felt a deep sense of loss after the breakup.,Sadness
He was heartbroken when He heard the tragic news.,Sadness
We felt enraged by the constant interruptions.,Anger
The laughter of children filled me with happiness.,Joy
The unfair treatment left me fuming with rage.,Anger
I was terrified when I saw the shadow outside my window.,Fear
The thought of failing the exam kept me awake with dread.,Fear
I felt enraged by the constant interruptions.,Anger
We was terrified when We saw the shadow outside my window.,Fear
She was heartbroken when She heard the tragic news.,Sadness
The sudden announcement of the promotion took me by surprise.,Surprise
He was overjoyed when He got the acceptance letter.,Joy
The loneliness consumed me during the cold night.,Sadness
I couldn't stop crying after reading the sad letter.,Sadness
I couldn't believe my eyes when I saw the stunning view.,Surprise
The loneliness consumed me during the cold night.,Sadness
The unfair treatment left me fuming with rage.,Anger
I couldn't believe my eyes when I saw the stunning view.,Surprise
I felt a deep sense of loss after the breakup.,Sadness
The loneliness consumed me during the cold night.,Sadness
We gasped in astonishment at the plot twist in the story.,Surprise
The surprise visit from my best friend made my day.,Joy
She was overjoyed when She got the acceptance letter.,Joy
The laughter of children filled me with happiness.,Joy
